System,Menu,API ID,API Name,Endpoint,Method,Related Tables,Description,説明,Screen list
Platform SaaS Admin,Dashboard,PA-DB-003-API-01-Health check,Health check,/api/v1/admin/dashboard/system-health,GET,central_db.[TBD: system_setting / operation_setting],Kiểm tra trạng thái hoạt động của hệ thống.,システムの稼働状態を確認する。,システム監視ダッシュボード (https://www.notion.so/362f02c407dd807787ceed8f8c0dbfc7?pvs=21)
Platform SaaS Admin,Tenant Management,PA-TEN-001-API-01-Moto tenant list,Moto tenant list,/api/v1/admin/moto-tenants,GET,central_db.mst_tenant,"Lấy danh sách tenant MOTO, hỗ trợ tìm kiếm/lọc.",MOTOテナント一覧を取得し、検索・絞り込みに利用する。,派遣元テナント一覧 (https://www.notion.so/362f02c407dd805ab517c72304647945?pvs=21)
Platform SaaS Admin,Tenant Management,PA-TEN-001-API-02-Export moto tenant list,Export moto tenant list,/api/v1/admin/moto-tenants/export,GET,central_db.mst_tenant,Xuất danh sách tenant MOTO ra file.,MOTOテナント一覧をファイル出力する。,派遣元テナント一覧 (https://www.notion.so/362f02c407dd805ab517c72304647945?pvs=21)
Platform SaaS Admin,Tenant Management,PA-TEN-002-API-01-Moto tenant detail,Moto tenant detail,/api/v1/admin/moto-tenants/{id},GET,central_db.mst_tenant,Lấy chi tiết tenant MOTO theo ID.,ID指定でMOTOテナント詳細を取得する。,派遣元テナント詳細 (https://www.notion.so/362f02c407dd8001be53f6f4f661bd75?pvs=21)
Platform SaaS Admin,Tenant Management,PA-TEN-003-API-01-Create moto tenant,Create moto tenant,/api/v1/admin/moto-tenants,POST,central_db.mst_tenant,Tạo mới tenant MOTO.,MOTOテナントを新規作成する。,派遣元テナント作成 (https://www.notion.so/362f02c407dd8042b447e5a078902d6e?pvs=21)
Platform SaaS Admin,Tenant Management,PA-TEN-004-API-01-Update moto tenant,Update moto tenant,/api/v1/admin/moto-tenants/{id},PATCH,central_db.mst_tenant,Cập nhật tenant MOTO.,MOTOテナントを更新する。,派遣元テナント編集 (https://www.notion.so/362f02c407dd80b684f8eccc219e9bb0?pvs=21)
Platform SaaS Admin,Tenant Management,PA-TEN-005-API-01-Suspend moto tenant,Suspend moto tenant,/api/v1/admin/moto-tenants/{id}/suspend,PATCH,central_db.mst_tenant,Tạm ngưng tenant MOTO.,MOTOテナントを停止する。,派遣元テナント停止 (https://www.notion.so/362f02c407dd805dbe70e89b68adcfd8?pvs=21)
Platform SaaS Admin,Tenant Management,PA-TEN-006-API-01-Restore moto tenant,Restore moto tenant,/api/v1/admin/moto-tenants/{id}/restore,PATCH,central_db.mst_tenant,Khôi phục tenant MOTO.,MOTOテナントを復旧する。,派遣元テナント復旧 (https://www.notion.so/362f02c407dd80af8f89c3f5c8944c33?pvs=21)
Platform SaaS Admin,Tenant Management,PA-TEN-007-API-01-Saki tenant list,Saki tenant list,/api/v1/admin/saki-tenants,GET,central_db.mst_tenant,"Lấy danh sách tenant SAKI, hỗ trợ tìm kiếm/lọc.",SAKIテナント一覧を取得し、検索・絞り込みに利用する。,派遣先テナント一覧 (https://www.notion.so/362f02c407dd802f9b47f81d86183d6a?pvs=21)
Platform SaaS Admin,Tenant Management,PA-TEN-007-API-02-Export saki tenant list,Export saki tenant list,/api/v1/admin/saki-tenants/export,GET,central_db.mst_tenant,Xuất danh sách tenant SAKI ra file.,SAKIテナント一覧をファイル出力する。,派遣先テナント一覧 (https://www.notion.so/362f02c407dd802f9b47f81d86183d6a?pvs=21)
Platform SaaS Admin,Tenant Management,PA-TEN-008-API-01-Saki tenant detail,Saki tenant detail,/api/v1/admin/saki-tenants/{id},GET,central_db.mst_tenant,Lấy chi tiết tenant SAKI theo ID.,ID指定でSAKIテナント詳細を取得する。,派遣先テナント詳細 (https://www.notion.so/362f02c407dd8013b8dbd9efee214180?pvs=21)
Platform SaaS Admin,Tenant Management,PA-TEN-009-API-01-Create saki tenant,Create saki tenant,/api/v1/admin/saki-tenants,POST,central_db.mst_tenant,Tạo mới tenant SAKI.,SAKIテナントを新規作成する。,派遣先テナント作成 (https://www.notion.so/362f02c407dd80a39f14c600c6259c6a?pvs=21)
Platform SaaS Admin,Tenant Management,PA-TEN-010-API-01-Update saki tenant,Update saki tenant,/api/v1/admin/saki-tenants/{id},PUT,central_db.mst_tenant,Cập nhật tenant SAKI.,SAKIテナントを更新する。,派遣先テナント編集 (https://www.notion.so/362f02c407dd8095b4d2fc09cdf6dbe9?pvs=21)
Platform SaaS Admin,Tenant Management,PA-TEN-011-API-01-Suspend saki tenant,Suspend saki tenant,/api/v1/admin/saki-tenants/{id}/suspend,PATCH,central_db.mst_tenant,Tạm ngưng tenant SAKI.,SAKIテナントを停止する。,派遣先テナント停止 (https://www.notion.so/362f02c407dd80ce8f99d2c7f1b293f8?pvs=21)
Platform SaaS Admin,Tenant Management,PA-TEN-012-API-01-Restore saki tenant,Restore saki tenant,/api/v1/admin/saki-tenants/{id}/restore,PATCH,central_db.mst_tenant,Khôi phục tenant SAKI.,SAKIテナントを復旧する。,派遣先テナント復旧 (https://www.notion.so/362f02c407dd802fab27cd93c2b2e839?pvs=21)
Platform SaaS Admin,Tenant Management,PA-TEN-013-API-01-Tenant feature setting,Tenant feature setting,/api/v1/admin/tenants/{id}/features,PATCH,"central_db.mst_tenant, central_db.[TBD: tenant_feature / feature_grant]",Cập nhật Tenant feature setting.,Tenant feature settingを更新する。,テナント機能設定 (https://www.notion.so/362f02c407dd80719186e061162dfc81?pvs=21)
Platform SaaS Admin,Tenant Management,PA-TEN-014-API-01-Tenant Domain Setting,Tenant Domain Setting,/api/v1/admin/tenants/{id}/domains,PATCH,"central_db.mst_tenant, central_db.[TBD: tenant_domain]",Cập nhật Tenant Domain Setting.,Tenant Domain Settingを更新する。,ドメイン設定 (https://www.notion.so/362f02c407dd804cb04be5e33b51f74e?pvs=21)
Platform SaaS Admin,Tenant Management,PA-TEN-015-API-01-Tenant Branding Setting,Tenant Branding Setting,/api/v1/admin/tenants/{id}/branding,PATCH,"central_db.mst_tenant, central_db.[TBD: tenant_branding]",Cập nhật Tenant Branding Setting.,Tenant Branding Settingを更新する。,テナントブランド設定 (https://www.notion.so/362f02c407dd80689f50cdd51ad8b969?pvs=21)
Platform SaaS Admin,Tenant Management,PA-TEN-016-API-01-Tenant Usage Dashboard,Tenant Usage Dashboard,/api/v1/admin/tenants/{id}/usage,GET,"central_db.mst_tenant, central_db.[TBD: system_setting / operation_setting], central_db.[TBD: platform_user / platform_role], central_db.[TBD: tenant_usage_metric]",Lấy tổng quan/trạng thái Tenant Usage Dashboard.,Tenant Usage Dashboardの概要・状態を取得する。,テナント利用状況 (https://www.notion.so/362f02c407dd80a68231e93f0e3962f2?pvs=21)
Platform SaaS Admin,Tenant Management,PA-TEN-017-API-01-Tenant Onboarding Status,Tenant Onboarding Status,/api/v1/admin/tenants/{id}/onboarding,POST,"central_db.mst_tenant, central_db.[TBD: tenant_onboarding]",Lấy tổng quan/trạng thái Tenant Onboarding Status.,Tenant Onboarding Statusの概要・状態を取得する。,導入準備状況 (https://www.notion.so/362f02c407dd80b287ebd4f0f459226c?pvs=21)
Platform SaaS Admin,Tenant Management,PA-TEN-018-API-01-Additional Onboarding Procedure,Additional Onboarding Procedure,/api/v1/admin/tenants/{id}/additional-onboarding,POST,"central_db.mst_tenant, central_db.[TBD: tenant_onboarding]",Tạo mới quy trình onboarding bổ sung.,追加オンボーディング手順を新規作成する。,追加導入手続き (https://www.notion.so/362f02c407dd8058aab8ce87ee2a968f?pvs=21)
Platform SaaS Admin,Tenant Contract / Feature Management,PA-LIC-001-API-01-Tenant Contract List,Tenant Contract List,/api/v1/admin/tenant-contracts,GET,"central_db.mst_tenant, central_db.[TBD: tenant_contract]","Lấy danh sách hợp đồng, hỗ trợ tìm kiếm/lọc.",契約一覧を取得し、検索・絞り込みに利用する。,テナント契約一覧 (https://www.notion.so/362f02c407dd80c1ae2cd18613e3426b?pvs=21)
Platform SaaS Admin,Tenant Contract / Feature Management,PA-LIC-002-API-01-Tenant Contract Detail,Tenant Contract Detail,/api/v1/admin/tenant-contracts/{id},GET,"central_db.mst_tenant, central_db.[TBD: tenant_contract]",Lấy chi tiết hợp đồng theo ID.,ID指定で契約詳細を取得する。,テナント契約詳細 (https://www.notion.so/362f02c407dd80b19386c9d0c935244d?pvs=21)
Platform SaaS Admin,Tenant Contract / Feature Management,PA-LIC-003-API-001-Create Tenant Contract,Create Tenant Contract,/api/v1/admin/tenant-contracts,POST,"central_db.mst_tenant, central_db.[TBD: tenant_contract]",Tạo mới hợp đồng.,契約を新規作成する。,テナント契約作成 (https://www.notion.so/362f02c407dd8099b9afee64d0b6a256?pvs=21)
Platform SaaS Admin,Tenant Contract / Feature Management,PA-LIC-004-API-01-Update Tenant Contract,Update Tenant Contract,/api/v1/admin/tenant-contracts/{id},PUT,"central_db.mst_tenant, central_db.[TBD: tenant_contract]",Cập nhật hợp đồng.,契約を更新する。,テナント契約編集 (https://www.notion.so/362f02c407dd80efaa57e2542f142dff?pvs=21)
Platform SaaS Admin,Tenant Contract / Feature Management,PA-LIC-005-API-01-Tenant Feature Grant Setting,Tenant Feature Grant Setting,/api/v1/admin/tenant-contracts/{id}/features,POST,"central_db.mst_tenant, central_db.[TBD: tenant_feature / feature_grant], central_db.[TBD: tenant_contract], central_db.[TBD: tenant_contract_feature]",Tạo mới Tenant Feature Grant Setting.,Tenant Feature Grant Settingを新規作成する。,利用機能付与設定 (https://www.notion.so/362f02c407dd801b9153ea6756db3a31?pvs=21)
Platform SaaS Admin,Tenant Contract / Feature Management,PA-LIC-006-API-01-Usage Limit Setting,Usage Limit Setting,/api/v1/admin/tenant-contracts/{id}/limit,POST,"central_db.mst_tenant, central_db.[TBD: tenant_contract], central_db.[TBD: tenant_usage_limit], central_db.[TBD: tenant_usage_metric]",Tạo mới Usage Limit Setting.,Usage Limit Settingを新規作成する。,
Platform SaaS Admin,Tenant Contract / Feature Management,PA-LIC-007-API-01-Contract Feature History,Contract Feature History,/api/v1/admin/tenant-contracts/{id}/feature-history,GET,"central_db.mst_tenant, central_db.[TBD: tenant_feature / feature_grant], central_db.[TBD: tenant_contract], central_db.[TBD: tenant_contract_feature]",Lấy hợp đồng.,契約を取得する。,利用機能変更履歴 (https://www.notion.so/362f02c407dd808cbb88cc323fa7638a?pvs=21)
Platform SaaS Admin,Tenant Contract / Feature Management,PA-LIC-008-API-01-Contract Document List,Contract Document List,/api/v1/admin/tenant-contracts/{id}/documents,GET,"central_db.mst_tenant, central_db.[TBD: tenant_contract], central_db.[TBD: tenant_contract_document]","Lấy danh sách tài liệu hợp đồng, hỗ trợ tìm kiếm/lọc.",契約書類一覧を取得し、検索・絞り込みに利用する。,契約書管理 (https://www.notion.so/362f02c407dd808cbbebd1bad4d9bc9a?pvs=21)
Platform SaaS Admin,Tenant Contract / Feature Management,PA-LIC-008-API-02-Upload Contract Document,Upload Contract Document,/api/v1/admin/tenant-contracts/{id}/documents,POST,"central_db.mst_tenant, central_db.[TBD: tenant_contract], central_db.[TBD: tenant_contract_document]",Tải lên tài liệu hợp đồng để import/xử lý.,契約書類をアップロードして取込／処理する。,契約書管理 (https://www.notion.so/362f02c407dd808cbbebd1bad4d9bc9a?pvs=21)
Platform SaaS Admin,Tenant Contract / Feature Management,PA-LIC-008-API-03-Delete Contract Document,Delete Contract Document,/api/v1/admin/tenant-contracts/{id}/documents/{document_id},DELETE,"central_db.mst_tenant, central_db.[TBD: tenant_contract], central_db.[TBD: tenant_contract_document]",Xóa hoặc hủy tài liệu hợp đồng.,契約書類を削除または取消する。,契約書管理 (https://www.notion.so/362f02c407dd808cbbebd1bad4d9bc9a?pvs=21)
Platform SaaS Admin,Tenant Contract / Feature Management,PA-LIC-009-API-01-Suspend Tenant Contract,Suspend Tenant Contract,/api/v1/admin/tenant-contracts/{id}/suspend,PATCH,"central_db.mst_tenant, central_db.[TBD: tenant_contract]",Tạm ngưng hợp đồng.,契約を停止する。,テナント契約停止 (https://www.notion.so/362f02c407dd809a93b1cfb1009a92e4?pvs=21)
Platform SaaS Admin,Tenant Contract / Feature Management,PA-LIC-010-API-01-Restore Tenant Contract,Restore Tenant Contract,/api/v1/admin/tenant-contracts/{id}/restore,PATCH,"central_db.mst_tenant, central_db.[TBD: tenant_contract]",Khôi phục hợp đồng.,契約を復旧する。,テナント契約復旧 (https://www.notion.so/362f02c407dd802e91cfcc4e15f247cf?pvs=21)
Platform SaaS Admin,System Management,PA-SYS-001-API-01-System Parameter Setting,System Parameter Setting,/api/v1/admin/system/settings,GET,central_db.[TBD: system_setting / operation_setting],Lấy thông tin System Parameter Setting.,System Parameter Settingの情報を取得する。,システム設定 (https://www.notion.so/362f02c407dd80008eece7f72df4151d?pvs=21)
Platform SaaS Admin,System Management,PA-SYS-001-API-02-Update System Parameter Setting,Update System Parameter Setting,/api/v1/admin/system/settings,PUT,central_db.[TBD: system_setting / operation_setting],Cập nhật Update System Parameter Setting.,Update System Parameter Settingを更新する。,システム設定 (https://www.notion.so/362f02c407dd80008eece7f72df4151d?pvs=21)
Platform SaaS Admin,System Management,PA-SYS-002-API-01-Mail Server Setting,Mail Server Setting,/api/v1/admin/system/mail,GET,central_db.[TBD: system_setting / operation_setting],Lấy thông tin Mail Server Setting.,Mail Server Settingの情報を取得する。,メールサーバ設定 (https://www.notion.so/362f02c407dd80ed9ca6e2a3e5c3f0e7?pvs=21)
Platform SaaS Admin,System Management,PA-SYS-002-API-02-Update Mail Server Setting,Update Mail Server Setting,/api/v1/admin/system/mail,PUT,central_db.[TBD: system_setting / operation_setting],Cập nhật Update Mail Server Setting.,Update Mail Server Settingを更新する。,メールサーバ設定 (https://www.notion.so/362f02c407dd80ed9ca6e2a3e5c3f0e7?pvs=21)
Platform SaaS Admin,System Management,PA-SYS-003-API-01-Storage Setting,Storage Setting,/api/v1/admin/system/storage,GET,central_db.[TBD: system_setting / operation_setting],Lấy thông tin Storage Setting.,Storage Settingの情報を取得する。,ストレージ設定 (https://www.notion.so/362f02c407dd80d3b62fc4bdac18035a?pvs=21)
Platform SaaS Admin,System Management,PA-SYS-003-API-02-Update Storage Setting,Update Storage Setting,/api/v1/admin/system/storage,PUT,central_db.[TBD: system_setting / operation_setting],Cập nhật Update Storage Setting.,Update Storage Settingを更新する。,ストレージ設定 (https://www.notion.so/362f02c407dd80d3b62fc4bdac18035a?pvs=21)
Platform SaaS Admin,System Management,PA-SYS-004-API-01-API Key List,API Key List,/api/v1/admin/system/api-keys,GET,central_db.[TBD: system_setting / operation_setting],"Lấy danh sách API Key List, hỗ trợ tìm kiếm/lọc.",API Key List一覧を取得し、検索・絞り込みに利用する。,APIキー管理 (https://www.notion.so/API-362f02c407dd80bda0eeea5ce900265e?pvs=21)
Platform SaaS Admin,System Management,PA-SYS-004-API-02-Create API Key,Create API Key,/api/v1/admin/system/api-keys,POST,central_db.[TBD: system_setting / operation_setting],Tạo mới Create API Key.,Create API Keyを新規作成する。,APIキー管理 (https://www.notion.so/API-362f02c407dd80bda0eeea5ce900265e?pvs=21)
Platform SaaS Admin,System Management,PA-SYS-004-API-03-Revoke API Key,Revoke API Key,/api/v1/admin/system/api-keys/{id},DELETE,central_db.[TBD: system_setting / operation_setting],Xóa hoặc hủy Revoke API Key.,Revoke API Keyを削除または取消する。,APIキー管理 (https://www.notion.so/API-362f02c407dd80bda0eeea5ce900265e?pvs=21)
Platform SaaS Admin,System Management,PA-SYS-005-API-01-Maintenance Mode Status,Maintenance Mode Status,/api/v1/admin/system/maintenance,GET,central_db.[TBD: system_setting / operation_setting],Lấy tổng quan/trạng thái Maintenance Mode Status.,Maintenance Mode Statusの概要・状態を取得する。,メンテナンスモード (https://www.notion.so/362f02c407dd804da8c7e124d61514fe?pvs=21)
Platform SaaS Admin,System Management,PA-SYS-005-API-02-Update Maintenance Mode,Update Maintenance Mode,/api/v1/admin/system/maintenance,PATCH,central_db.[TBD: system_setting / operation_setting],Cập nhật Update Maintenance Mode.,Update Maintenance Modeを更新する。,メンテナンスモード (https://www.notion.so/362f02c407dd804da8c7e124d61514fe?pvs=21)
Platform SaaS Admin,System Management,PA-SYS-006-API-01-Backup List,Backup List,/api/v1/admin/system/backups,GET,central_db.[TBD: system_setting / operation_setting],"Lấy danh sách Backup List, hỗ trợ tìm kiếm/lọc.",Backup List一覧を取得し、検索・絞り込みに利用する。,バックアップ管理 (https://www.notion.so/362f02c407dd804bac67fda445e4b093?pvs=21)
Platform SaaS Admin,System Management,PA-SYS-006-API-02-Create Backup,Create Backup,/api/v1/admin/system/backups,POST,central_db.[TBD: system_setting / operation_setting],Tạo mới Create Backup.,Create Backupを新規作成する。,バックアップ管理 (https://www.notion.so/362f02c407dd804bac67fda445e4b093?pvs=21)
Platform SaaS Admin,System Management,PA-SYS-006-API-03-Download Backup,Download Backup,/api/v1/admin/system/backups/{id}/download,GET,central_db.[TBD: system_setting / operation_setting],Tải xuống Download Backup.,Download Backupをダウンロードする。,バックアップ管理 (https://www.notion.so/362f02c407dd804bac67fda445e4b093?pvs=21)
Platform SaaS Admin,User Management,PA-USER-001-API-01-Platform User List,Platform User List,/api/v1/admin/users,GET,central_db.[TBD: platform_user / platform_role],"Lấy danh sách Platform User List, hỗ trợ tìm kiếm/lọc.",Platform User List一覧を取得し、検索・絞り込みに利用する。,管理ユーザー一覧 (https://www.notion.so/362f02c407dd808fbcafed7125f953af?pvs=21)
Platform SaaS Admin,User Management,PA-USER-002-API-01-Create Platform User,Create Platform User,/api/v1/admin/users,POST,central_db.[TBD: platform_user / platform_role],Tạo mới Create Platform User.,Create Platform Userを新規作成する。,管理ユーザー作成 (https://www.notion.so/362f02c407dd80828f71f303c244f13e?pvs=21)
Platform SaaS Admin,User Management,PA-USER-003-API-01-Role Master List,Role Master List,/api/v1/admin/roles,GET,central_db.[TBD: platform_user / platform_role],"Lấy danh sách master vai trò/quyền hạn, hỗ trợ tìm kiếm/lọc.",ロール／権限マスタ一覧を取得し、検索・絞り込みに利用する。,権限マスタ (https://www.notion.so/362f02c407dd804c970ced786d7a3f9a?pvs=21)
Platform SaaS Admin,User Management,PA-USER-003-API-02-Create Role,Create Role,/api/v1/admin/roles,POST,central_db.[TBD: platform_user / platform_role],Tạo mới Create Role.,Create Roleを新規作成する。,権限マスタ (https://www.notion.so/362f02c407dd804c970ced786d7a3f9a?pvs=21)
Platform SaaS Admin,User Management,PA-USER-003-API-03-Update Role,Update Role,/api/v1/admin/roles/{id},PUT,central_db.[TBD: platform_user / platform_role],Cập nhật Update Role.,Update Roleを更新する。,権限マスタ (https://www.notion.so/362f02c407dd804c970ced786d7a3f9a?pvs=21)
Platform SaaS Admin,User Management,PA-USER-004-API-01-Password Reset,Password Reset,/api/v1/admin/users/password-reset,POST,central_db.[TBD: platform_user / platform_role],Thực hiện quy trình đặt lại mật khẩu.,パスワードリセット処理を行う。,パスワード初期化 (https://www.notion.so/362f02c407dd8092a46afbe35abf49fb?pvs=21)
Platform SaaS Admin,User Management,PA-USER-005-API-01-Account Lock Status,Account Lock Status,/api/v1/admin/users/lock-management,GET,central_db.[TBD: platform_user / platform_role],Lấy tổng quan/trạng thái Account Lock Status.,Account Lock Statusの概要・状態を取得する。,ロック解除 (https://www.notion.so/362f02c407dd801c98f5dcee5dbbaa53?pvs=21)
Platform SaaS Admin,User Management,PA-USER-005-API-02-Lock Platform User,Lock Platform User,/api/v1/admin/users/{id}/lock,POST,central_db.[TBD: platform_user / platform_role],Tạo mới Lock Platform User.,Lock Platform Userを新規作成する。,ロック解除 (https://www.notion.so/362f02c407dd801c98f5dcee5dbbaa53?pvs=21)
Platform SaaS Admin,User Management,PA-USER-005-API-03-Unlock Platform User,Unlock Platform User,/api/v1/admin/users/{id}/unlock,POST,central_db.[TBD: platform_user / platform_role],Tạo mới Unlock Platform User.,Unlock Platform Userを新規作成する。,ロック解除 (https://www.notion.so/362f02c407dd801c98f5dcee5dbbaa53?pvs=21)
Platform SaaS Admin,Billing Management,PA-BILL-001-API-01-Billing Dashboard Summary,Billing Dashboard Summary,/api/v1/admin/billing/dashboard,GET,"central_db.mst_tenant, central_db.[TBD: usage_billing / payment]",Lấy tổng quan/trạng thái Billing Dashboard Summary.,Billing Dashboard Summaryの概要・状態を取得する。,利用料金ダッシュボード (https://www.notion.so/362f02c407dd8058b5e3d970daecde07?pvs=21)
Platform SaaS Admin,Billing Management,PA-BILL-002-API-01-Usage Billing List,Usage Billing List,/api/v1/admin/billing,GET,"central_db.mst_tenant, central_db.[TBD: usage_billing / payment], central_db.[TBD: tenant_usage_metric]","Lấy danh sách tính phí sử dụng, hỗ trợ tìm kiếm/lọc.",利用料金一覧を取得し、検索・絞り込みに利用する。,利用料金一覧 (https://www.notion.so/362f02c407dd8042af27e58a3ee3bd88?pvs=21)
Platform SaaS Admin,Billing Management,PA-BILL-003-API-01-Usage Billing Detail,Usage Billing Detail,/api/v1/admin/billing/{id},GET,"central_db.mst_tenant, central_db.[TBD: usage_billing / payment], central_db.[TBD: tenant_usage_metric]",Lấy chi tiết Usage Billing Detail theo ID.,ID指定でUsage Billing Detailの詳細を取得する。,利用料金詳細 (https://www.notion.so/362f02c407dd808cba85c3519d6aebd0?pvs=21)
Platform SaaS Admin,Billing Management,PA-BILL-004-API-01-Export Billing Invoice,Export Billing Invoice,/api/v1/admin/billing/{id}/export,GET,"central_db.mst_tenant, central_db.[TBD: usage_billing / payment]",Xuất hóa đơn ra file.,請求書をファイル出力する。,請求書DL (https://www.notion.so/DL-362f02c407dd808b829de314c684bf38?pvs=21)
Platform SaaS Admin,Billing Management,PA-BILL-005-API-01-Payment Status Management,Payment Status Management,/api/v1/admin/payments,PATCH,"central_db.mst_tenant, central_db.[TBD: usage_billing / payment]",Lấy tổng quan/trạng thái Payment Status Management.,Payment Status Managementの概要・状態を取得する。,支払管理 (https://www.notion.so/362f02c407dd80dc8a18e6221ce26d6f?pvs=21)
Platform SaaS Admin,Billing Management,PA-BILL-006-API-01-Overdue Invoice Management,Overdue Invoice Management,/api/v1/admin/overdue,GET,"central_db.mst_tenant, central_db.[TBD: usage_billing / payment]",Lấy thông tin hóa đơn.,請求書の情報を取得する。,
Platform SaaS Admin,Common,PA-GM-107-API-01-Get 36 Agreement Setting,Get 36 Agreement Setting,/api/v1/admin/system/36-agreement,GET,"central_db.mst_36_agreement_yearly, central_db.mst_36_agreement_monthly",Platform Admin lấy thông tin thiết lập giới hạn giờ làm thêm theo Hiệp định 36 làm luật chung cho toàn bộ hệ thống.,,36協定マスタ (https://www.notion.so/36-364f02c407dd8029a867ec9517cc33fe?pvs=21)
Platform SaaS Admin,Common,PA-GM-107-API-02-Update Global 36 Agreement Setting,Update Global 36 Agreement Setting,/api/v1/admin/system/36-agreement,PUT,"central_db.mst_36_agreement_yearly, central_db.mst_36_agreement_monthly",Platform Admin cập nhật thông tin thiết lập giới hạn giờ làm thêm theo Hiệp định 36 (áp dụng mốc này cho mọi Tenant).,,36協定マスタ (https://www.notion.so/36-364f02c407dd8029a867ec9517cc33fe?pvs=21)
Platform SaaS Admin,Common,PA-GM-107-API-03-Get Global 36 Agreement Overtime Alerts,Get Global 36 Agreement Overtime Alerts,/api/v1/admin/system/36-agreement-alerts,GET,"central_db.mst_36_agreement_yearly, central_db.mst_36_agreement_monthly, tenant_db.t_attendance_daily",Platform Admin lấy danh sách cảnh báo những nhân viên vi phạm giới hạn giờ làm (quét dữ liệu chấm công từ tất cả các Tenant đối chiếu với luật chung).,,36協定マスタ (https://www.notion.so/36-364f02c407dd8029a867ec9517cc33fe?pvs=21)