API ID,API Name,Description,Endpoint,Menu,Method,Related Tables,Screen list,System,説明
PA-DB-003-API-01-Health check,Health check,Kiểm tra trạng thái hoạt động của hệ thống.,/api/v1/admin/dashboard/system-health,Dashboard,GET,central_db.[TBD: system_setting / operation_setting],システム監視ダッシュボード (https://www.notion.so/362f02c407dd807787ceed8f8c0dbfc7?pvs=21),Platform SaaS Admin,システムの稼働状態を確認する。
PA-TEN-001-API-01-Moto tenant list,Moto tenant list,"Lấy danh sách tenant MOTO, hỗ trợ tìm kiếm/lọc.",/api/v1/admin/moto-tenants,Tenant Management,GET,central_db.mst_tenant,派遣元テナント一覧 (https://www.notion.so/362f02c407dd805ab517c72304647945?pvs=21),Platform SaaS Admin,MOTOテナント一覧を取得し、検索・絞り込みに利用する。
PA-TEN-002-API-01-Moto tenant detail,Moto tenant detail,Lấy chi tiết tenant MOTO theo ID.,/api/v1/admin/moto-tenants/{id},Tenant Management,GET,central_db.mst_tenant,派遣元テナント詳細 (https://www.notion.so/362f02c407dd8001be53f6f4f661bd75?pvs=21),Platform SaaS Admin,ID指定でMOTOテナント詳細を取得する。
PA-TEN-003-API-01-Create moto tenant,Create moto tenant,Tạo mới tenant MOTO.,/api/v1/admin/moto-tenants,Tenant Management,POST,central_db.mst_tenant,派遣元テナント作成 (https://www.notion.so/362f02c407dd8042b447e5a078902d6e?pvs=21),Platform SaaS Admin,MOTOテナントを新規作成する。
PA-TEN-001-API-02-Export moto tenant list,Export moto tenant list,Xuất danh sách tenant MOTO ra file.,/api/v1/admin/moto-tenants/export,Tenant Management,GET,central_db.mst_tenant,派遣元テナント一覧 (https://www.notion.so/362f02c407dd805ab517c72304647945?pvs=21),Platform SaaS Admin,MOTOテナント一覧をファイル出力する。
PA-TEN-004-API-01-Update moto tenant,Update moto tenant,Cập nhật tenant MOTO.,/api/v1/admin/moto-tenants/{id},Tenant Management,PATCH,central_db.mst_tenant,派遣元テナント編集 (https://www.notion.so/362f02c407dd80b684f8eccc219e9bb0?pvs=21),Platform SaaS Admin,MOTOテナントを更新する。
PA-TEN-005-API-01-Suspend moto tenant,Suspend moto tenant,Tạm ngưng tenant MOTO.,/api/v1/admin/moto-tenants/{id}/suspend,Tenant Management,PATCH,central_db.mst_tenant,派遣元テナント停止 (https://www.notion.so/362f02c407dd805dbe70e89b68adcfd8?pvs=21),Platform SaaS Admin,MOTOテナントを停止する。
PA-TEN-006-API-01-Restore moto tenant,Restore moto tenant,Khôi phục tenant MOTO.,/api/v1/admin/moto-tenants/{id}/restore,Tenant Management,PATCH,central_db.mst_tenant,派遣元テナント復旧 (https://www.notion.so/362f02c407dd80af8f89c3f5c8944c33?pvs=21),Platform SaaS Admin,MOTOテナントを復旧する。
PA-TEN-007-API-01-Saki tenant list,Saki tenant list,"Lấy danh sách tenant SAKI, hỗ trợ tìm kiếm/lọc.",/api/v1/admin/saki-tenants,Tenant Management,GET,central_db.mst_tenant,派遣先テナント一覧 (https://www.notion.so/362f02c407dd802f9b47f81d86183d6a?pvs=21),Platform SaaS Admin,SAKIテナント一覧を取得し、検索・絞り込みに利用する。
PA-TEN-008-API-01-Saki tenant detail,Saki tenant detail,Lấy chi tiết tenant SAKI theo ID.,/api/v1/admin/saki-tenants/{id},Tenant Management,GET,central_db.mst_tenant,派遣先テナント詳細 (https://www.notion.so/362f02c407dd8013b8dbd9efee214180?pvs=21),Platform SaaS Admin,ID指定でSAKIテナント詳細を取得する。
PA-TEN-007-API-02-Export saki tenant list,Export saki tenant list,Xuất danh sách tenant SAKI ra file.,/api/v1/admin/saki-tenants/export,Tenant Management,GET,central_db.mst_tenant,派遣先テナント一覧 (https://www.notion.so/362f02c407dd802f9b47f81d86183d6a?pvs=21),Platform SaaS Admin,SAKIテナント一覧をファイル出力する。
PA-TEN-009-API-01-Create saki tenant,Create saki tenant,Tạo mới tenant SAKI.,/api/v1/admin/saki-tenants,Tenant Management,POST,central_db.mst_tenant,派遣先テナント作成 (https://www.notion.so/362f02c407dd80a39f14c600c6259c6a?pvs=21),Platform SaaS Admin,SAKIテナントを新規作成する。
PA-TEN-010-API-01-Update saki tenant,Update saki tenant,Cập nhật tenant SAKI.,/api/v1/admin/saki-tenants/{id},Tenant Management,PUT,central_db.mst_tenant,派遣先テナント編集 (https://www.notion.so/362f02c407dd8095b4d2fc09cdf6dbe9?pvs=21),Platform SaaS Admin,SAKIテナントを更新する。
PA-TEN-011-API-01-Suspend saki tenant,Suspend saki tenant,Tạm ngưng tenant SAKI.,/api/v1/admin/saki-tenants/{id}/suspend,Tenant Management,PATCH,central_db.mst_tenant,派遣先テナント停止 (https://www.notion.so/362f02c407dd80ce8f99d2c7f1b293f8?pvs=21),Platform SaaS Admin,SAKIテナントを停止する。
PA-TEN-012-API-01-Restore saki tenant,Restore saki tenant,Khôi phục tenant SAKI.,/api/v1/admin/saki-tenants/{id}/restore,Tenant Management,PATCH,central_db.mst_tenant,派遣先テナント復旧 (https://www.notion.so/362f02c407dd802fab27cd93c2b2e839?pvs=21),Platform SaaS Admin,SAKIテナントを復旧する。
PA-TEN-013-API-01-Tenant feature setting,Tenant feature setting,Cập nhật Tenant feature setting.,/api/v1/admin/tenants/{id}/features,Tenant Management,PATCH,"central_db.mst_tenant, central_db.[TBD: tenant_feature / feature_grant]",テナント機能設定 (https://www.notion.so/362f02c407dd80719186e061162dfc81?pvs=21),Platform SaaS Admin,Tenant feature settingを更新する。
PA-TEN-014-API-01-Tenant Domain Setting,Tenant Domain Setting,Cập nhật Tenant Domain Setting.,/api/v1/admin/tenants/{id}/domains,Tenant Management,PATCH,"central_db.mst_tenant, central_db.[TBD: tenant_domain]",ドメイン設定 (https://www.notion.so/362f02c407dd804cb04be5e33b51f74e?pvs=21),Platform SaaS Admin,Tenant Domain Settingを更新する。
PA-TEN-015-API-01-Tenant Branding Setting,Tenant Branding Setting,Cập nhật Tenant Branding Setting.,/api/v1/admin/tenants/{id}/branding,Tenant Management,PATCH,"central_db.mst_tenant, central_db.[TBD: tenant_branding]",テナントブランド設定 (https://www.notion.so/362f02c407dd80689f50cdd51ad8b969?pvs=21),Platform SaaS Admin,Tenant Branding Settingを更新する。
PA-TEN-016-API-01-Tenant Usage Dashboard,Tenant Usage Dashboard,Lấy tổng quan/trạng thái Tenant Usage Dashboard.,/api/v1/admin/tenants/{id}/usage,Tenant Management,GET,"central_db.mst_tenant, central_db.[TBD: system_setting / operation_setting], central_db.[TBD: platform_user / platform_role], central_db.[TBD: tenant_usage_metric]",テナント利用状況 (https://www.notion.so/362f02c407dd80a68231e93f0e3962f2?pvs=21),Platform SaaS Admin,Tenant Usage Dashboardの概要・状態を取得する。
PA-TEN-018-API-01-Additional Onboarding Procedure,Additional Onboarding Procedure,Tạo mới quy trình onboarding bổ sung.,/api/v1/admin/tenants/{id}/additional-onboarding,Tenant Management,POST,"central_db.mst_tenant, central_db.[TBD: tenant_onboarding]",追加導入手続き (https://www.notion.so/362f02c407dd8058aab8ce87ee2a968f?pvs=21),Platform SaaS Admin,追加オンボーディング手順を新規作成する。
PA-TEN-017-API-01-Tenant Onboarding Status,Tenant Onboarding Status,Lấy tổng quan/trạng thái Tenant Onboarding Status.,/api/v1/admin/tenants/{id}/onboarding,Tenant Management,POST,"central_db.mst_tenant, central_db.[TBD: tenant_onboarding]",導入準備状況 (https://www.notion.so/362f02c407dd80b287ebd4f0f459226c?pvs=21),Platform SaaS Admin,Tenant Onboarding Statusの概要・状態を取得する。
PA-LIC-001-API-01-Tenant Contract List,Tenant Contract List,"Lấy danh sách hợp đồng, hỗ trợ tìm kiếm/lọc.",/api/v1/admin/tenant-contracts,Tenant Contract / Feature Management,GET,"central_db.mst_tenant, central_db.[TBD: tenant_contract]",テナント契約一覧 (https://www.notion.so/362f02c407dd80c1ae2cd18613e3426b?pvs=21),Platform SaaS Admin,契約一覧を取得し、検索・絞り込みに利用する。
PA-LIC-002-API-01-Tenant Contract Detail,Tenant Contract Detail,Lấy chi tiết hợp đồng theo ID.,/api/v1/admin/tenant-contracts/{id},Tenant Contract / Feature Management,GET,"central_db.mst_tenant, central_db.[TBD: tenant_contract]",テナント契約詳細 (https://www.notion.so/362f02c407dd80b19386c9d0c935244d?pvs=21),Platform SaaS Admin,ID指定で契約詳細を取得する。
PA-LIC-003-API-001-Create Tenant Contract,Create Tenant Contract,Tạo mới hợp đồng.,/api/v1/admin/tenant-contracts,Tenant Contract / Feature Management,POST,"central_db.mst_tenant, central_db.[TBD: tenant_contract]",テナント契約作成 (https://www.notion.so/362f02c407dd8099b9afee64d0b6a256?pvs=21),Platform SaaS Admin,契約を新規作成する。
PA-LIC-004-API-01-Update Tenant Contract,Update Tenant Contract,Cập nhật hợp đồng.,/api/v1/admin/tenant-contracts/{id},Tenant Contract / Feature Management,PUT,"central_db.mst_tenant, central_db.[TBD: tenant_contract]",テナント契約編集 (https://www.notion.so/362f02c407dd80efaa57e2542f142dff?pvs=21),Platform SaaS Admin,契約を更新する。
PA-LIC-005-API-01-Tenant Feature Grant Setting,Tenant Feature Grant Setting,Tạo mới Tenant Feature Grant Setting.,/api/v1/admin/tenant-contracts/{id}/features,Tenant Contract / Feature Management,POST,"central_db.mst_tenant, central_db.[TBD: tenant_feature / feature_grant], central_db.[TBD: tenant_contract], central_db.[TBD: tenant_contract_feature]",利用機能付与設定 (https://www.notion.so/362f02c407dd801b9153ea6756db3a31?pvs=21),Platform SaaS Admin,Tenant Feature Grant Settingを新規作成する。
PA-LIC-006-API-01-Usage Limit Setting,Usage Limit Setting,Tạo mới Usage Limit Setting.,/api/v1/admin/tenant-contracts/{id}/limit,Tenant Contract / Feature Management,POST,"central_db.mst_tenant, central_db.[TBD: tenant_contract], central_db.[TBD: tenant_usage_limit], central_db.[TBD: tenant_usage_metric]",,Platform SaaS Admin,Usage Limit Settingを新規作成する。
PA-LIC-007-API-01-Contract Feature History,Contract Feature History,Lấy hợp đồng.,/api/v1/admin/tenant-contracts/{id}/feature-history,Tenant Contract / Feature Management,GET,"central_db.mst_tenant, central_db.[TBD: tenant_feature / feature_grant], central_db.[TBD: tenant_contract], central_db.[TBD: tenant_contract_feature]",利用機能変更履歴 (https://www.notion.so/362f02c407dd808cbb88cc323fa7638a?pvs=21),Platform SaaS Admin,契約を取得する。
PA-LIC-008-API-01-Contract Document List,Contract Document List,"Lấy danh sách tài liệu hợp đồng, hỗ trợ tìm kiếm/lọc.",/api/v1/admin/tenant-contracts/{id}/documents,Tenant Contract / Feature Management,GET,"central_db.mst_tenant, central_db.[TBD: tenant_contract], central_db.[TBD: tenant_contract_document]",契約書管理 (https://www.notion.so/362f02c407dd808cbbebd1bad4d9bc9a?pvs=21),Platform SaaS Admin,契約書類一覧を取得し、検索・絞り込みに利用する。
PA-LIC-008-API-02-Upload Contract Document,Upload Contract Document,Tải lên tài liệu hợp đồng để import/xử lý.,/api/v1/admin/tenant-contracts/{id}/documents,Tenant Contract / Feature Management,POST,"central_db.mst_tenant, central_db.[TBD: tenant_contract], central_db.[TBD: tenant_contract_document]",契約書管理 (https://www.notion.so/362f02c407dd808cbbebd1bad4d9bc9a?pvs=21),Platform SaaS Admin,契約書類をアップロードして取込／処理する。
PA-LIC-008-API-03-Delete Contract Document,Delete Contract Document,Xóa hoặc hủy tài liệu hợp đồng.,/api/v1/admin/tenant-contracts/{id}/documents/{document_id},Tenant Contract / Feature Management,DELETE,"central_db.mst_tenant, central_db.[TBD: tenant_contract], central_db.[TBD: tenant_contract_document]",契約書管理 (https://www.notion.so/362f02c407dd808cbbebd1bad4d9bc9a?pvs=21),Platform SaaS Admin,契約書類を削除または取消する。
PA-LIC-009-API-01-Suspend Tenant Contract,Suspend Tenant Contract,Tạm ngưng hợp đồng.,/api/v1/admin/tenant-contracts/{id}/suspend,Tenant Contract / Feature Management,PATCH,"central_db.mst_tenant, central_db.[TBD: tenant_contract]",テナント契約停止 (https://www.notion.so/362f02c407dd809a93b1cfb1009a92e4?pvs=21),Platform SaaS Admin,契約を停止する。
PA-LIC-010-API-01-Restore Tenant Contract,Restore Tenant Contract,Khôi phục hợp đồng.,/api/v1/admin/tenant-contracts/{id}/restore,Tenant Contract / Feature Management,PATCH,"central_db.mst_tenant, central_db.[TBD: tenant_contract]",テナント契約復旧 (https://www.notion.so/362f02c407dd802e91cfcc4e15f247cf?pvs=21),Platform SaaS Admin,契約を復旧する。
PA-SYS-001-API-01-System Parameter Setting,System Parameter Setting,Lấy thông tin System Parameter Setting.,/api/v1/admin/system/settings,System Management,GET,central_db.[TBD: system_setting / operation_setting],システム設定 (https://www.notion.so/362f02c407dd80008eece7f72df4151d?pvs=21),Platform SaaS Admin,System Parameter Settingの情報を取得する。
PA-SYS-001-API-02-Update System Parameter Setting,Update System Parameter Setting,Cập nhật Update System Parameter Setting.,/api/v1/admin/system/settings,System Management,PUT,central_db.[TBD: system_setting / operation_setting],システム設定 (https://www.notion.so/362f02c407dd80008eece7f72df4151d?pvs=21),Platform SaaS Admin,Update System Parameter Settingを更新する。
PA-SYS-002-API-01-Mail Server Setting,Mail Server Setting,Lấy thông tin Mail Server Setting.,/api/v1/admin/system/mail,System Management,GET,central_db.[TBD: system_setting / operation_setting],メールサーバ設定 (https://www.notion.so/362f02c407dd80ed9ca6e2a3e5c3f0e7?pvs=21),Platform SaaS Admin,Mail Server Settingの情報を取得する。
PA-SYS-002-API-02-Update Mail Server Setting,Update Mail Server Setting,Cập nhật Update Mail Server Setting.,/api/v1/admin/system/mail,System Management,PUT,central_db.[TBD: system_setting / operation_setting],メールサーバ設定 (https://www.notion.so/362f02c407dd80ed9ca6e2a3e5c3f0e7?pvs=21),Platform SaaS Admin,Update Mail Server Settingを更新する。
PA-SYS-003-API-01-Storage Setting,Storage Setting,Lấy thông tin Storage Setting.,/api/v1/admin/system/storage,System Management,GET,central_db.[TBD: system_setting / operation_setting],ストレージ設定 (https://www.notion.so/362f02c407dd80d3b62fc4bdac18035a?pvs=21),Platform SaaS Admin,Storage Settingの情報を取得する。
PA-SYS-003-API-02-Update Storage Setting,Update Storage Setting,Cập nhật Update Storage Setting.,/api/v1/admin/system/storage,System Management,PUT,central_db.[TBD: system_setting / operation_setting],ストレージ設定 (https://www.notion.so/362f02c407dd80d3b62fc4bdac18035a?pvs=21),Platform SaaS Admin,Update Storage Settingを更新する。
PA-SYS-004-API-01-API Key List,API Key List,"Lấy danh sách API Key List, hỗ trợ tìm kiếm/lọc.",/api/v1/admin/system/api-keys,System Management,GET,central_db.[TBD: system_setting / operation_setting],APIキー管理 (https://www.notion.so/API-362f02c407dd80bda0eeea5ce900265e?pvs=21),Platform SaaS Admin,API Key List一覧を取得し、検索・絞り込みに利用する。
PA-SYS-004-API-02-Create API Key,Create API Key,Tạo mới Create API Key.,/api/v1/admin/system/api-keys,System Management,POST,central_db.[TBD: system_setting / operation_setting],APIキー管理 (https://www.notion.so/API-362f02c407dd80bda0eeea5ce900265e?pvs=21),Platform SaaS Admin,Create API Keyを新規作成する。
PA-SYS-004-API-03-Revoke API Key,Revoke API Key,Xóa hoặc hủy Revoke API Key.,/api/v1/admin/system/api-keys/{id},System Management,DELETE,central_db.[TBD: system_setting / operation_setting],APIキー管理 (https://www.notion.so/API-362f02c407dd80bda0eeea5ce900265e?pvs=21),Platform SaaS Admin,Revoke API Keyを削除または取消する。
PA-SYS-005-API-01-Maintenance Mode Status,Maintenance Mode Status,Lấy tổng quan/trạng thái Maintenance Mode Status.,/api/v1/admin/system/maintenance,System Management,GET,central_db.[TBD: system_setting / operation_setting],メンテナンスモード (https://www.notion.so/362f02c407dd804da8c7e124d61514fe?pvs=21),Platform SaaS Admin,Maintenance Mode Statusの概要・状態を取得する。
PA-SYS-005-API-02-Update Maintenance Mode,Update Maintenance Mode,Cập nhật Update Maintenance Mode.,/api/v1/admin/system/maintenance,System Management,PATCH,central_db.[TBD: system_setting / operation_setting],メンテナンスモード (https://www.notion.so/362f02c407dd804da8c7e124d61514fe?pvs=21),Platform SaaS Admin,Update Maintenance Modeを更新する。
PA-SYS-006-API-01-Backup List,Backup List,"Lấy danh sách Backup List, hỗ trợ tìm kiếm/lọc.",/api/v1/admin/system/backups,System Management,GET,central_db.[TBD: system_setting / operation_setting],バックアップ管理 (https://www.notion.so/362f02c407dd804bac67fda445e4b093?pvs=21),Platform SaaS Admin,Backup List一覧を取得し、検索・絞り込みに利用する。
PA-SYS-006-API-02-Create Backup,Create Backup,Tạo mới Create Backup.,/api/v1/admin/system/backups,System Management,POST,central_db.[TBD: system_setting / operation_setting],バックアップ管理 (https://www.notion.so/362f02c407dd804bac67fda445e4b093?pvs=21),Platform SaaS Admin,Create Backupを新規作成する。
PA-SYS-006-API-03-Download Backup,Download Backup,Tải xuống Download Backup.,/api/v1/admin/system/backups/{id}/download,System Management,GET,central_db.[TBD: system_setting / operation_setting],バックアップ管理 (https://www.notion.so/362f02c407dd804bac67fda445e4b093?pvs=21),Platform SaaS Admin,Download Backupをダウンロードする。
PA-USER-001-API-01-Platform User List,Platform User List,"Lấy danh sách Platform User List, hỗ trợ tìm kiếm/lọc.",/api/v1/admin/users,User Management,GET,central_db.[TBD: platform_user / platform_role],管理ユーザー一覧 (https://www.notion.so/362f02c407dd808fbcafed7125f953af?pvs=21),Platform SaaS Admin,Platform User List一覧を取得し、検索・絞り込みに利用する。
PA-USER-002-API-01-Create Platform User,Create Platform User,Tạo mới Create Platform User.,/api/v1/admin/users,User Management,POST,central_db.[TBD: platform_user / platform_role],管理ユーザー作成 (https://www.notion.so/362f02c407dd80828f71f303c244f13e?pvs=21),Platform SaaS Admin,Create Platform Userを新規作成する。
PA-USER-003-API-01-Role Master List,Role Master List,"Lấy danh sách master vai trò/quyền hạn, hỗ trợ tìm kiếm/lọc.",/api/v1/admin/roles,User Management,GET,central_db.[TBD: platform_user / platform_role],権限マスタ (https://www.notion.so/362f02c407dd804c970ced786d7a3f9a?pvs=21),Platform SaaS Admin,ロール／権限マスタ一覧を取得し、検索・絞り込みに利用する。
PA-USER-003-API-02-Create Role,Create Role,Tạo mới Create Role.,/api/v1/admin/roles,User Management,POST,central_db.[TBD: platform_user / platform_role],権限マスタ (https://www.notion.so/362f02c407dd804c970ced786d7a3f9a?pvs=21),Platform SaaS Admin,Create Roleを新規作成する。
PA-USER-003-API-03-Update Role,Update Role,Cập nhật Update Role.,/api/v1/admin/roles/{id},User Management,PUT,central_db.[TBD: platform_user / platform_role],権限マスタ (https://www.notion.so/362f02c407dd804c970ced786d7a3f9a?pvs=21),Platform SaaS Admin,Update Roleを更新する。
PA-USER-004-API-01-Password Reset,Password Reset,Thực hiện quy trình đặt lại mật khẩu.,/api/v1/admin/users/password-reset,User Management,POST,central_db.[TBD: platform_user / platform_role],パスワード初期化 (https://www.notion.so/362f02c407dd8092a46afbe35abf49fb?pvs=21),Platform SaaS Admin,パスワードリセット処理を行う。
PA-USER-005-API-01-Account Lock Status,Account Lock Status,Lấy tổng quan/trạng thái Account Lock Status.,/api/v1/admin/users/lock-management,User Management,GET,central_db.[TBD: platform_user / platform_role],ロック解除 (https://www.notion.so/362f02c407dd801c98f5dcee5dbbaa53?pvs=21),Platform SaaS Admin,Account Lock Statusの概要・状態を取得する。
PA-USER-005-API-02-Lock Platform User,Lock Platform User,Tạo mới Lock Platform User.,/api/v1/admin/users/{id}/lock,User Management,POST,central_db.[TBD: platform_user / platform_role],ロック解除 (https://www.notion.so/362f02c407dd801c98f5dcee5dbbaa53?pvs=21),Platform SaaS Admin,Lock Platform Userを新規作成する。
PA-USER-005-API-03-Unlock Platform User,Unlock Platform User,Tạo mới Unlock Platform User.,/api/v1/admin/users/{id}/unlock,User Management,POST,central_db.[TBD: platform_user / platform_role],ロック解除 (https://www.notion.so/362f02c407dd801c98f5dcee5dbbaa53?pvs=21),Platform SaaS Admin,Unlock Platform Userを新規作成する。
PA-BILL-001-API-01-Billing Dashboard Summary,Billing Dashboard Summary,Lấy tổng quan/trạng thái Billing Dashboard Summary.,/api/v1/admin/billing/dashboard,Billing Management,GET,"central_db.mst_tenant, central_db.[TBD: usage_billing / payment]",利用料金ダッシュボード (https://www.notion.so/362f02c407dd8058b5e3d970daecde07?pvs=21),Platform SaaS Admin,Billing Dashboard Summaryの概要・状態を取得する。
PA-BILL-002-API-01-Usage Billing List,Usage Billing List,"Lấy danh sách tính phí sử dụng, hỗ trợ tìm kiếm/lọc.",/api/v1/admin/billing,Billing Management,GET,"central_db.mst_tenant, central_db.[TBD: usage_billing / payment], central_db.[TBD: tenant_usage_metric]",利用料金一覧 (https://www.notion.so/362f02c407dd8042af27e58a3ee3bd88?pvs=21),Platform SaaS Admin,利用料金一覧を取得し、検索・絞り込みに利用する。
PA-BILL-003-API-01-Usage Billing Detail,Usage Billing Detail,Lấy chi tiết Usage Billing Detail theo ID.,/api/v1/admin/billing/{id},Billing Management,GET,"central_db.mst_tenant, central_db.[TBD: usage_billing / payment], central_db.[TBD: tenant_usage_metric]",利用料金詳細 (https://www.notion.so/362f02c407dd808cba85c3519d6aebd0?pvs=21),Platform SaaS Admin,ID指定でUsage Billing Detailの詳細を取得する。
PA-BILL-004-API-01-Export Billing Invoice,Export Billing Invoice,Xuất hóa đơn ra file.,/api/v1/admin/billing/{id}/export,Billing Management,GET,"central_db.mst_tenant, central_db.[TBD: usage_billing / payment]",請求書DL (https://www.notion.so/DL-362f02c407dd808b829de314c684bf38?pvs=21),Platform SaaS Admin,請求書をファイル出力する。
PA-BILL-005-API-01-Payment Status Management,Payment Status Management,Lấy tổng quan/trạng thái Payment Status Management.,/api/v1/admin/payments,Billing Management,PATCH,"central_db.mst_tenant, central_db.[TBD: usage_billing / payment]",支払管理 (https://www.notion.so/362f02c407dd80dc8a18e6221ce26d6f?pvs=21),Platform SaaS Admin,Payment Status Managementの概要・状態を取得する。
PA-BILL-006-API-01-Overdue Invoice Management,Overdue Invoice Management,Lấy thông tin hóa đơn.,/api/v1/admin/overdue,Billing Management,GET,"central_db.mst_tenant, central_db.[TBD: usage_billing / payment]",,Platform SaaS Admin,請求書の情報を取得する。
ST-AUTH-003-API-01-Request Password Reset,Request Password Reset,Gửi yêu cầu đặt lại mật khẩu.,/api/v1/staff/auth/password/forgot,Authentication,POST,"central_db.mst_tenant, tenant_db.[TBD: staff_account / login_history]","パスワードの再設定 (https://www.notion.so/37df02c407dd80889493f0a8f1a159d4?pvs=21), パスワード再設定申請完了 (https://www.notion.so/37df02c407dd80bfa074e8a311bfaefc?pvs=21), パスワード再設定サポート案内 (https://www.notion.so/37df02c407dd80bdba3ce9017fc6e835?pvs=21)",Staff Mobile APP,パスワードリセット依頼を送信する。
ST-AUTH-001-API-01-Staff login,Staff login,"Đăng nhập, xác thực tài khoản và cấp token truy cập.",/api/v1/staff/auth/login,Authentication,POST,"central_db.mst_tenant, tenant_db.[TBD: staff_account / login_history]",,Staff Mobile APP,ログイン認証を行い、アクセストークンを発行する。
ST-AUTH-002-API-01-Staff logout,Staff logout,Đăng xuất và vô hiệu hóa phiên/token hiện tại.,/api/v1/staff/logout,Authentication,POST,"central_db.mst_tenant, tenant_db.[TBD: staff_account / login_history]",ログアウト (https://www.notion.so/362f02c407dd80d2a6ded0187461706b?pvs=21),Staff Mobile APP,ログアウトし、現在のセッション／トークンを無効化する。
ST-AUTH-003-API-02-Confirm Password Reset,Confirm Password Reset,Xác nhận đặt lại mật khẩu bằng mã/token.,/api/v1/staff/auth/password/reset,Authentication,POST,"central_db.mst_tenant, tenant_db.[TBD: staff_account / login_history]","パスワードの再設定 (https://www.notion.so/37df02c407dd80889493f0a8f1a159d4?pvs=21), パスワード再設定申請完了 (https://www.notion.so/37df02c407dd80bfa074e8a311bfaefc?pvs=21), パスワード再設定サポート案内 (https://www.notion.so/37df02c407dd80bdba3ce9017fc6e835?pvs=21)",Staff Mobile APP,コード／トークンでパスワードリセットを確定する。
ST-AUTH-004-API-01-Get Account Lock Notice,Get Account Lock Notice,Lấy thông tin Get Account Lock Notice.,/api/v1/staff/auth/account-lock,Authentication,GET,"central_db.mst_tenant, tenant_db.[TBD: staff_account / login_history]",アカウントロック通知 (https://www.notion.so/362f02c407dd8087bde6c93e7124432b?pvs=21),Staff Mobile APP,Get Account Lock Noticeの情報を取得する。
ST-HOME-001-API-01-Staff Dashboard,Staff Dashboard,Lấy tổng quan màn hình home của nhân viên.,/api/v1/staff/home/dashboard,Home,GET,"central_db.notification_history, tenant_db.[TBD: notification_read], tenant_db.[TBD: staff_contract / contract], tenant_db.[TBD: staff_attendance / shift_schedule], tenant_db.[TBD: staff_contract / staff_attendance]","派遣元テナント一覧 (https://www.notion.so/362f02c407dd805ab517c72304647945?pvs=21), ホーム (https://www.notion.so/362f02c407dd805bb2efcce341e9458c?pvs=21)",Staff Mobile APP,スタッフホーム概要を取得する。
ST-HOME-002-API-01-Notification List,Notification List,"Lấy danh sách thông báo, hỗ trợ tìm kiếm/lọc.",/api/v1/staff/notifications,Home,GET,"central_db.notification_history, tenant_db.[TBD: notification_read]","お知らせ一覧 (https://www.notion.so/362f02c407dd8019a22af8fd2f80af09?pvs=21), ホーム (https://www.notion.so/362f02c407dd805bb2efcce341e9458c?pvs=21)",Staff Mobile APP,通知一覧を取得し、検索・絞り込みに利用する。
ST-HOME-002-API-02-Mark Notification Read,Mark Notification Read,Đánh dấu thông báo đã đọc.,/api/v1/staff/notifications/{id}/read,Home,PATCH,"central_db.notification_history, tenant_db.[TBD: notification_read]",お知らせ一覧 (https://www.notion.so/362f02c407dd8019a22af8fd2f80af09?pvs=21),Staff Mobile APP,通知を既読に更新する。
